date,rarity,modern
1797,1,4
1806,8,1
1817,4,1
1823,6,5
1834,5,5
1836,8,5
1837,7,4
1839,8,4
1840,1,2
1841,10,5
1844,7,1
1851,6,4
1855,6,5
1860,1,1
1866,2,1
1870,2,2
1872,10,3
1874,5,4
1875,2,4
1876,8,4
1877,9,5
1881,10,4
1882,3,2
1884,6,3
1885,7,4
1887,10,5
1890,5,4
1892,6,5
1893,3,3
1897,2,3
1900,5,3
1901,6,3
1902,6,3
1903,3,4
1904,3,3
1907,7,4
1908,7,4
1910,7,4
1911,6,3
1912,6,5
1913,6,5
1915,7,4
1916,8,4
1918,1,3
1919,7,4
1920,5,4
1921,9,4
1922,2,2
1923,7,5
1926,5,5
1927,6,4
1929,6,4
1930,3,3
1931,5,4
1932,7,3
1934,8,4
1935,7,5
1937,7,3
1939,10,5
1940,4,3
1942,4,5
1945,6,5
1948,1,4
1949,8,5
1950,4,3
1951,5,4
1953,2,2
1954,7,5
1955,2,3
1958,1,1
1960,6,5
1961,3,3
1967,6,3
1968,4,3
1969,8,4
1971,10,4
1978,6,3
1983,4,4
1984,8,4
1985,4,5
1988,5,4
1990,7,4
1993,4,2
1994,7,4
1996,9,1
1998,6,4
2000,8,4
2001,5,3
2007,7,4
2008,1,4
2009,5,5
2012,1,3
2014,8,3
