Coverage,Date,Description,Rarity,Sense of the Modern,Source,Title,added,collection_id,collection_resource,collection_url,extended_resources_exhibit_pages,featured,files_count,files_resource,files_url,id,item_type_id,item_type_name,item_type_resource,item_type_url,modified,owner_id,owner_resource,owner_url,public,tags,url
None,None,None,None,None,None,Front Page Image,2014-09-10T00:13:07+00:00,None,None,None,None,False,4,files,http://ds.haverford.edu/lancasterproject/api/files?item=16,16,None,None,None,None,2014-09-10T02:09:33+00:00,1,users,http://ds.haverford.edu/lancasterproject/api/users/1,True,None,http://ds.haverford.edu/lancasterproject/api/items/16
None,1797,"“The first regular stage, carrying ten passengers, used the new road in 1797. It left Lancaster at five o’clock in the evening, and reached Philadelphia, sixty-six miles distant, at five o’clock next morning."" The rhythm of movement will dramatically alter over the next two hundred years: the idea of distance will become radically reframed through the new perspectives of the locomotive, the panorama, steam, iron, snapshot, automobile. ",1,4,"John T. Faris, Old Roads Out of Philadelphia, 115",Twelve Hours,2014-09-15T21:16:35+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=23,23,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-22T03:55:35+00:00,8,users,http://ds.haverford.edu/lancasterproject/api/users/8,True,"distance, evolution of tech, inns, nature unnamed, roads, speed, time, transportation, travel",http://ds.haverford.edu/lancasterproject/api/items/23
"||||osm
Thinking about the wealth and perceived wealth of the Main Line, its community and its alienation.",None,"“1913: The Federal Income Tax was enacted, which Groff identifies as a key moment in the social and economic d/evolution of the Main Line suburbs. It became prohibitively expensive to maintain the kind of ‘absurd’ extravagance that defined building in the suburbs after the Civil War.”",None,None,"Groff 108-109, Smith 33",Main Line Moms and Mansions ,2014-09-15T21:27:43+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=24,24,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-22T03:46:28+00:00,8,users,http://ds.haverford.edu/lancasterproject/api/users/8,True,"1913, Federal Government, suburbs, wealth",http://ds.haverford.edu/lancasterproject/api/items/24
"||||osm
Latter half of twentieth century, still considering the clash of the ultra-rich Main Line with its middle/working-class residents.",None,"“1957: Possibly the first trend story to document ‘the end of an era’ on the Main Line, at least in the New York Times. ⁃ Bracker, Milton. ‘Philadelphia Society, Changing but Changeless, Is the Main Line.’ The New York Times, January 14, 1957, pg. 22, Special to the New York Times. ProQuest Historical Newspapers The New York Times (1851-2006).” Smith's overview clarifies that the idea of an “end of an era” rhetoric is consequential to the Great Migration (around the 20s/30s/40s, where an influx of people came to Philadelphia, creating a new racial dynamic and more traffic through the entire Main Line), where some of the ""formerly exclusive"" Main Line inner suburbs let their barriers down.",None,None,"Extra notes: Bennet Smith, “A short narrative history of Lancaster Avenue,” 5.",Nostalgia and Exclusion,2014-09-15T21:30:38+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=25,25,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-10-22T03:51:06+00:00,8,users,http://ds.haverford.edu/lancasterproject/api/users/8,True,"borderlands, class, end of an era, immigration, poverty, wealth",http://ds.haverford.edu/lancasterproject/api/items/25
"||||osm
Wayne, Pennsylvania, late 19th century. America's first suburb built by George W. Childs, editor of the <em>Public Ledger</em>, and A.J. Drexel",1881,"""South of the railroad tracks, the erected fifty modern homes which included spacious lawns, ample shade trees, and such conveniences of the city as water, sewer, and gas mains. When asked why he built this new development so far out in the country, Childs quickly replied that it would give residents more time to read the <em>Ledger.</em>""",10,4,"Baltzell, 204",Childs' Development,2014-09-16T01:09:01+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=27,27,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-10-23T19:06:26+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,True,"mapme, suburbs, time",http://ds.haverford.edu/lancasterproject/api/items/27
"||||osm
Paoli, Pennsylvania, early 20th century","September 12, 1915","""The line to Paoli was electrified on September 12, 1915, and it is said that when the current was first turned on,  all the telephones along the Main Line rang. One can picture the inhabitants of the various suburbs all madly answering their phones!""",4,4,"d'Apéry (1936), 115",Electrified,2014-09-16T01:23:57+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=28,28,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:32:01+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,False,"communication, electricity, end of an era, evolution of tech, fashion and novelty, fire, mapme, novelty, sound, telephone",http://ds.haverford.edu/lancasterproject/api/items/28
"||||osm
South Lancaster Pike, the Depression Era. A firework factory explosion that killed residents of nearby working class neighborhoods.","April 3, 1930","""[The] frame houses, principally occupied by Negro and Italian laborers, which border the south side of the old Lancaster Pike, were twisted and smashed."" 
The use of the term ""frame house"" provides a clue to the living conditions of the Main Line's racial and ethnic others; frame houses are normally wooden skeletons that are then covered in siding, In the case of this article, ""frame houses"" suggests that these houses were cheaply constructed with little attention given to safety and stability. In contrast, the words ""cheap"" and ""unsafe"" would not  describe Childs' suburb.",3,3,"""Explosions Kill 10 in Fireworks Plant."" <em>The New York Times, </em>April 4, 1930, pg. 1, Special to the New York Times.",Backfired,2014-09-16T01:57:46+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=29,29,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:23:02+00:00,12,users,http://ds.haverford.edu/lancasterproject/api/users/12,True,"class, death, destruction, explosion, fire, immigration, mapme",http://ds.haverford.edu/lancasterproject/api/items/29
None,1913,"""With the invention of the automobile, the 30-year-old Devon Inn began its decline. This new mode of transportation gave the Devon guests a faster route to newfound interests in seashore and mountain attractions. The resort era, along with its economic contributions to the community, finally ended in 1913.""",3,5,None,The Devon Inn closes its doors,2014-09-17T03:57:00+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=30,30,19,Place,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/19,2014-10-19T18:40:00+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"automobile, end of an era, hotels, inns, leisure, loss, technology, transportation, travel",http://ds.haverford.edu/lancasterproject/api/items/30
"POINT(-8371477.8489342 4860602.8744015)|3|0.0000000|0.0000000|osm
",1929-1939,"""The once elegant West Philadelphia Title and Trust Company...dominated the the 40th Street [and Lancaster] intersection. In 1902, the bank advertised it had a capital of $500,000. Unfortunately, like many West Philadelphia banks, it went under in the  Great Depression. When the West Philadelphia Title and Trust company closed its doors, a young depositor with $50 in his savings account received a bank check for only 7c. He promptly used it to buy an ice-cream cone, leaving him with 2c change.""",2,3,"Robert Morris Skaler, Images of America: West Philadelphia, University City to 52nd Street (Charleston, SC: Arcadia Publishing, 2002), 96.",The Sweet Tooth Splurge,2014-09-17T04:16:56+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=31,31,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T20:05:16+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"banks, capital, destruction, deterioration, disparity, end of an era, farce, food, Lancaster Avenue Arcades, leisure, money, speed, value, wealth",http://ds.haverford.edu/lancasterproject/api/items/31
None,1942,"""The advent of television in the 1940s drastically changed the lifestyles of the local citizens. Before many families owned a set, members of the Alert Fire Company gathered at the firehouse to watch the organization's television set. On Sunday evening it became particularly crowded because no one wanted to miss the Ed Sullivan Show. Families still visited with each other, but conversation was no longer of prime importance; catching up on the latest local news gave way to the Milton Berle Show and Sid Caesar's antics.""",4,5,None,Video Killed the Gossiping Star,2014-09-17T04:25:30+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=32,32,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-03T16:23:02+00:00,9,users,http://ds.haverford.edu/lancasterproject/api/users/9,True,"end of an era, entertainment, fire, leisure, music, technology",http://ds.haverford.edu/lancasterproject/api/items/32
None,"February 22, 1910","""1910: On February 22nd, in the midst of city-wide riots caused by labor unrest (a streetcar operator's strike), mutiny breaks out among strike breakers working at a trolley barn at 43rd and Lancaster... The strikebreakers were upset that they were assigned positions not as conductors but as motormen.""",7,3,"""Reyburn wants troops ready / Asks Governor for 10000 Men to Stop Philadelphia Riots--750 Cars Wrecked."" The New York Times, February 23rd, 1910.","Amid strikes, strikes reign",2014-09-17T20:33:07+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=33,33,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-11-24T18:17:29+00:00,11,users,http://ds.haverford.edu/lancasterproject/api/users/11,True,"strike, transportation, trolley, violence",http://ds.haverford.edu/lancasterproject/api/items/33
"||||osm
West Philadelphia",1860's ,"""The small villages established in West Philadelphia prior to 1860 at the sites of taverns and crossroads were destined to be engulfed by the residential tidal wave for which the horsecar was the catalyst.""


Foreshadowing the automobiles effects further down Lancaster Avenue, residents of Philadelphia spill in the suburbs, driven by desire and improved methods of travel. ",1,1,"Jackle, Robert Carl. 1985. Philadelphia Across the Schuylkill: Work, 
Transportation and Residence in West Philadelphia, 1860-1910. Thesis (Ph.D) –
Temple University, 1985. ",Horsecar's catalyse suburbanization of West Philadelphia ,2014-09-17T20:35:40+00:00,3,collections,http://ds.haverford.edu/lancasterproject/api/collections/3,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=34,34,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:39:41+00:00,3,users,http://ds.haverford.edu/lancasterproject/api/users/3,True,"end of an era, speed, suburbs, time, transportation",http://ds.haverford.edu/lancasterproject/api/items/34
None,"April 1st, 1844","""The 1840 the P&CR institutes an all-steam locomotion policy, ending the earlier practice of sharing the tracks between horses and steam engines."" ",7,1,"Aichele page 39

Aichele,  Stephen S. 1995. The development of Philadelphia's Main Line. Thesis 
(B.S.)--Pennsylvania State University.",End of horse drawn railcars ,2014-09-17T16:37:43+00:00,3,collections,http://ds.haverford.edu/lancasterproject/api/collections/3,None,False,1,files,http://ds.haverford.edu/lancasterproject/api/files?item=35,35,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T16:39:41+00:00,3,users,http://ds.haverford.edu/lancasterproject/api/users/3,True,"discord, end of an era, loss, speed, technology, transportation",http://ds.haverford.edu/lancasterproject/api/items/35
"POINT(-8371499.1864983 4860563.9991286)|3|0.0000000|0.0000000|osm
","November 1-4, 1931","""In early november, George Watson, an African-American man who was living at 40th and Haverford and had only been living at that address for a month, returned home to find a package at his door that turned out to be a lit bundle of dynamite. The police arrived and defused it but had it remained there for ten minutes longer the entire corner of Fortieth and Haverford avenue would probably have been blown away. Watson was the only African-American living on the block.""",4,4,"""Negro Finds Dynamite by Door of Home."" Philadelphia Tribune, November 5, 1931, pg. 1.",Dynamite for George Watson and Fortieth and Haverford Avenue,2014-09-17T16:39:43+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=36,36,20,Thing,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/20,2014-12-02T23:48:35+00:00,11,users,http://ds.haverford.edu/lancasterproject/api/users/11,True,"end of an era, explosion, race",http://ds.haverford.edu/lancasterproject/api/items/36
None,"July 4, 1954","The lawn mower attaches pride to the process of home beautification--competition to cutting grass. ""Over 300 spectators attended the Devon Lawn Mower Derby on July 4, 1954, a first of this kind of Suburban Philadelphia. Born from a friendly argument between two neighbors, the event was so successful plans were made to hold future races at the Devon Horse Show grounds.""",7,5,"Devon: Chester County, Pennsylvania : a pictorial history showing over 475 images. DePiano and DiAddezio, 100.","Devon residents race Lawn Mowers, compete for suburbanization",2014-09-17T20:49:27+00:00,None,None,None,None,False,0,files,http://ds.haverford.edu/lancasterproject/api/files?item=37,37,21,Event,item_types,http://ds.haverford.edu/lancasterproject/api/item_types/21,2014-12-03T00:02:11+00:00,11,users,http://ds.haverford.edu/lancasterproject/api/users/11,True,"boredom, idleness and pleasurable looking, kitsch, race, speed, suburbs, transportation",http://ds.haverford.edu/lancasterproject/api/items/37
